time,mag
2452783.45346065,0.09168723581293303
2452783.45578704,0.06046106316817168
2452783.45820602,0.061580056946097805
2452783.46054398,0.08938970631444221
2452783.46288194,0.06627278163840833
2452783.46520833,0.057628737624527915
2452783.4675463,0.08661613340325225
2452783.46988426,0.13526538847535008
2452783.47222222,0.08684263856128549
2452783.47454861,0.041544307159284255
2452783.47688657,0.10672164499653025
2452783.47922454,0.1350824832488402
2452783.4815625,0.05771061537000133
2452783.48390046,0.08992666581862441
2452783.48856481,0.08925330935204956
2452783.49090278,0.08254637873690385
2452783.49324074,0.0575352571775305
2452783.4955787,0.09967197867739008
2452783.49790509,0.11070425415931329
2452783.50024306,0.09211762646563626
2452783.50258102,0.09681969992852357
2452783.50491898,0.016277376424163936
2452783.50724537,0.0825498375306224
2452783.50958333,0.06849937858425426
2452783.51195602,0.06562614893421159
2452783.51430556,0.11399425799514695
2452783.51896991,0.08554289971858076
2452783.52130787,0.10221312685610551
2452783.52364583,0.09873614357770322
2452783.5259838,0.11927392448267726
2452783.52831019,0.06445502551209703
2452783.53064815,0.10397509526748738
2452783.53299769,0.03943076009344315
2452783.53533565,0.03189190136745479
2452783.53766204,0.030795996289097793
2452810.38505787,0.06804297450473129
2452810.38859954,0.07644005040733237
2452810.39215278,0.07735272448537955
2452810.39569444,0.06793899278946736
2452810.39923611,0.03898560216088631
2452810.40277778,0.03401879959984422
2452810.40631944,0.04275683210123438
2452810.40986111,0.03514356506197425
2452810.41340278,0.052310097162770575
2452810.41694444,0.027246824650312806
2452810.42048611,0.058239575571883195
2452810.42402778,0.04561425032351485
2452810.42756944,0.035922772860562446
2452810.43111111,-0.01200525731641311
2452810.43466435,0.012455725745847968
2452810.43820602,0.003737748386765105
2452810.44174768,0.036920385599532146
2452810.44528935,-0.0006504419860162702
2452810.44883102,0.02883318417852765
2452810.45237269,-0.01592453727254206
2452810.45591435,-0.030969476848325517
2452810.45945602,0.02046134762724794
2452810.46299769,0.03294115235297457
2452810.46653935,-0.0046471068952387284
2452810.47008102,-0.010686093070788383
2452810.47362269,0.012397628480925516
2452810.47717593,-0.011177032857546454
2452810.48071759,0.0004057706317328602
2452810.48425926,-0.03673779789165521
2452810.48780093,0.005600981476207689
2452810.49134259,-0.007945291301502788
2452810.49488426,-0.001720659793319701
2452810.49842593,0.0027271927037462174
2452810.50196759,-0.0018020794181254907
2452810.50550926,-0.01403343119816558
2452810.50905093,0.0003514084391382788
2452810.51368056,-0.006414784480148761
2452810.51717593,-0.043963760011178854
2452810.52065972,-0.02931756715117939
2452810.52414352,-0.03008078388007762
2452810.52762731,-0.006292620342146504
2452810.53111111,-0.035020612020657316
2452810.53459491,-0.004519631340545782
2452810.53809028,-0.05949192770992906
2452810.54157407,-0.022368830197714296
2452810.54505787,-0.04890616423334482
2452810.54854167,-0.04876232235939937
2452810.55202546,-0.03276487812793283
2452810.55550926,-0.02729137132215831
2452810.55899306,-0.025047265572618826
2452810.56248843,-0.04458863806836111
2452810.56597222,-0.0695249991209721
2452810.56945602,-0.0607026445613692
2452810.57293981,-0.0809032002896739
2452810.57643519,-0.04367992467988424
2452810.57991898,-0.0063479746046462004
2452810.58340278,-0.04017665863712461
2452810.58688657,-0.015101615727524553
2452810.59037037,-0.05970384666486073
2452810.59385417,-0.00865027470453339
2452810.59733796,-0.05068731050198094
2452810.60082176,-0.009344983875403612
2452811.3737037,0.00961411569963877
2452811.37724537,-0.0002219738550046646
2452811.38078704,0.0059119903438296095
2452811.3843287,0.006952808776029329
2452811.38787037,0.011180649570785572
2452811.39141204,0.013455421214038088
2452811.3949537,0.007345199475672359
2452811.39849537,0.02938049339021176
2452811.40203704,-0.00014395126044308704
2452811.4055787,0.05121401505326917
2452811.40912037,0.037716554052849904
2452811.41266204,0.030418986783429247
2452811.4162037,0.012308802983330036
2452811.41974537,0.029600977042699927
2452811.42329861,0.08610343407323118
2452811.42684028,0.0295587195743916
2452811.43038194,0.06693825665629216
2452811.43392361,0.06425551884856207
2452811.43746528,0.053921823725740836
2452811.44100694,0.05902585933513871
2452811.44454861,0.044795934781598934
2452811.44810185,0.08744889577154513
2452811.45167824,0.05929768134667768
2452811.45521991,0.07666398479055081
2452811.45876157,0.07810799436106564
2452811.46230324,0.06348510014122688
2452811.46584491,0.06470782839458256
2452811.46938657,0.0869329989937957
2452811.47292824,0.016496767515226107
2452811.47646991,0.06325742137671764
2452811.48002315,0.06183564064011282
2452811.48356482,0.05637608232021307
